word	vol_lv	count
AGE RESTRICTED DVD S	2	132
SHOE CARE: LACES/POLISH/CLOT	2	263
BODY WASH	3	2461
BANDAGE/TAPE	3	924
PREP FD: SIDE DISHES (HOT)	3	2323
MEAT: TURKEY BULK	4	7549
PROPHYLACTICS	2	258
RODENTICIDES	2	81
SANDWICH SAUCE	3	1456
PROMOTIONAL	2	176
BABY FOOD CEREALS	3	1036
PEDIATRIC ANALGESICS	3	668
MEAT: TURKEY PPK/PRESLC	3	349
MEAT: BEEF PPK/PRESLCD	2	135
PEACHES YELLOW FLESH	3	2363
REGULAR BEAN	3	727
TOMATOES CHERRY	3	727
ICE - CRUSHED/CUBED	3	2276
VEGETABLE SALADS - BULK	3	919
MOUTHWASH RINSES AND SPRAYS	3	1675
HAM - STEAKS/SLICES/CUBES	2	184
DRY CAT FOOD ECONOMY (COST CUT	3	605
CAN CATFD GOURMET/SUP PREM (GR	4	3964
CANNED CAT FOOD (9 LIVES/FRISK	4	7407
FACIAL SOAPS-SCRUBS-MASKS	3	1065
SEAFOOD-MISC-BREADERS/BTR MIX	3	453
CANDY BARS MULTI PACK W/FLOUR	3	765
SOFT DRINKS 6PK/4PK CAN CARB (	4	3223
CAN DOGFD GOURMET/SUPER PREM (	3	2027
FLORAL DEPT KEY RING	2	124
SINUS AND ALLERGY	3	1064
FRZN CONC UNDER 50% JUICE	3	1280
PLAYBALLS	2	202
PANSIES	2	38
BREAD:SWEET/BREAKFAST	3	428
PEG TOYS	3	424
SEASONAL CANDY BOX NON-CHOCOLA	3	598
PIZZA/SINGLE SERVE/MICROWAVE	3	1239
DIPS (NON-REFRIGERATED)	3	2986
SPECIALTY COOKIES	3	2027
RIPE OLIVES	3	1552
OLIVE OIL	3	1266
VALUE	3	1809
AUTO DISH DETERGENT - MONODOSE	3	651
COOKING BAGS WITH SPICES/SEASO	3	486
AUTOMATIC DISHWASHER DETERGENT	3	724
FALL & WINTER SEASONAL	2	56
MISC SNACKS	3	1090
FROZEN ENTREES	3	524
SALADS CND (BEAN POTATO)	2	67
CAN DOG FOOD (SKIPPY/PEDIGREE/	3	3078
HONEY	3	906
DOG TREATS (SOFT TREATS)	3	1843
FRZN CONC ALLIEDS OVER 50% JUI	3	545
EGGS SUBSTITUTE	3	967
FRZN BISCUITS	3	569
COOKING BAGS	3	364
SCOURING PADS & CLOTH	3	753
CARROTS BAGGED	3	1578
FROZEN MEAL COMBO/DINNERS	2	126
BEETS	3	758
BROTH	4	3628
SINGLE STEMS	2	264
BUNCHES 2-4 STEM (OTHER)	2	63
ENHANCED FLOWER DISPLAY	2	117
SANDWICH BAGS	3	1978
GENERAL PURPOSE BULBS	3	470
CHIX: VALUE ADDED (HOT)	3	682
SEASONAL	3	530
SUPER PREMIUM PINTS	3	2505
NON-MEATS - OTHER	3	377
ORGANIC VEGETABLES SALAD	3	342
MICROWAVABLE SOUPS	3	1030
LIPCARE	3	980
SV BEV: BEV/JUIC 10-50% JCE	2	113
BALLOONS 18IN PKG NON LICENSED	2	117
PIE FILLING MINCEMEAT GLAZES	3	1000
ROLLS - FLAVORED/OTHER	3	908
BATH ACCESSORIES	3	386
STRING CHEESE	4	4041
INSTANT COFFEE REGULAR	3	608
IMITATION EXTRACTS	3	334
PARTY EVERYDAY	3	669
CAKE DECORS - BIRTHDAY CANDLES	3	531
CAKES:BIRTHDAY/CELEBRATION LAY	2	63
JUICE (100% JUICE)	2	271
OTHER	3	978
TORTILLA CHIPS	3	849
MISC DAIRY REFIGERATED	3	726
NUTS INSHELL	2	148
COLOR SETS	2	96
MUSHROOMS W/WHOLE PKG	3	1835
LOAVE	3	1035
EGGS - JUMBO	3	934
VEGETABLE PARTY TRAY	2	249
FRUIT PARTY TRAY	2	36
HAND/BODY/FACIAL (MEDICATED)	2	85
INTERNAL	3	406
CHICKEN WINGS	3	1387
ORGANIC CITRUS	2	119
CHICKEN DRUMS	3	2197
SOFT DRINK BOTTLE NON-CARB (EX	3	2034
BREAKFAST CRYSTALS	2	109
AVOCADO	3	1597
ROLLS - PORK	4	4351
DAIRY CASE FRUIT DRINKS (NO JU	4	3416
RED	3	661
FLNK/PLT/SHNK - STK/CHP/SLC	2	83
JUICE (UNDER 10% JUICE)	3	1749
POTATOES SWEET	3	845
CAKES: ANGEL FDS/CKE ROLLS	3	701
OTHER CITRUS JUICES (50% AND U	3	399
GRAPE JUICE (OVER 50% JUICE)	3	1472
SAUERKRAUT	3	912
CHICKEN BREAST BONE IN	3	3048
ONIONS YELLOW (BULK&BAG)	3	2976
BREADINGS  COATINGS CRUMBS	3	1848
SW GDS: SW ROLLS/DAN	3	1620
CARDS SEASONAL	3	2301
FLAVORED/OTHER	3	868
FACIAL CREAMS	2	266
NUTS OTHER	3	645
SHAVE CREAMS AND POWDERS	3	1416
DRIED FRUIT - OTHER	3	1462
PECANS SHELLED	2	292
SMALL ANIMAL NEEDS	2	233
SCOOP LITTER	3	1417
LITTER ACCESSORIES	3	407
ORIENTAL SOY SAUCE	3	722
